"Scenario","N","P","Rho","Model","Mean_RMSE","SD_RMSE","QRMSE_90","ERisk","TopOne"
"S1",75,30,0.85,"XGB",1.94500591013317,0.0731376565420313,2.03696675835315,0.44530639431338,0
"S1",150,30,0.85,"OLS",1.68547112985655,0.0517482580898611,1.75397287469095,0.184628097744094,0.002
"S1",150,30,0.85,"Ridge",1.62872161744003,0.0351464700390838,1.67704411044039,0.127878585327581,0.006
"S1",150,30,0.85,"LASSO",1.57244693368898,0.0343440016375069,1.6196963233064,0.0716039015765267,0.816
"S1",150,30,0.85,"ENet",1.58118422720668,0.0357657575195918,1.62835423094649,0.0803411950942241,0.176
"S1",150,30,0.85,"BART",1.83864952450802,0.0583104069532784,1.91880183916424,0.337806492395567,0
"S1",150,30,0.85,"RF",1.77042071479386,0.0342097276814577,1.81414872584361,0.269577682681402,0
"S1",150,30,0.85,"XGB",1.82220349036876,0.0465537808366122,1.88428956056646,0.321360458256307,0
"S1",500,30,0.85,"OLS",1.54856842649698,0.0165258104530837,1.56830596272229,0.0485937147911938,0.01
"S1",500,30,0.85,"Ridge",1.57041279322016,0.0169136819961353,1.59158315109415,0.0704380815143718,0
"S1",500,30,0.85,"LASSO",1.5210364699995,0.014373137800848,1.53922134138037,0.0210617582937145,0.87
"S1",500,30,0.85,"ENet",1.52399130594066,0.0145869934099328,1.5429307870895,0.0240165942348792,0.12
"S1",500,30,0.85,"BART",1.69714854437773,0.0277756420273874,1.7334616935733,0.197173832671946,0
"S1",500,30,0.85,"RF",1.6739208671412,0.0188729411664515,1.69819543572426,0.173946155435418,0
"S1",500,30,0.85,"XGB",1.6682210214423,0.0220791123869455,1.69587993365516,0.168246309736513,0
"S2",35,9,0.2,"OLS",2.08568768750498,0.169501602457593,2.3019315466673,0.28725910574845,0.17
"S2",35,9,0.2,"Ridge",2.05902568397176,0.162774112155035,2.25834320791291,0.260597102215226,0.154
"S2",35,9,0.2,"LASSO",2.03139459577231,0.163153466084874,2.25110640366405,0.232966014015775,0.39
"S2",35,9,0.2,"ENet",2.03532370724284,0.165531322042127,2.26593034541614,0.236895125486315,0.278
"S2",35,9,0.2,"BART",2.39221713331651,0.161863391149267,2.60859572461571,0.59378855155998,0.006
"S2",35,9,0.2,"RF",2.51941286248306,0.143956176477503,2.70538917741999,0.720984280726532,0
"S2",35,9,0.2,"XGB",2.50417954127245,0.16325540658873,2.7124337315977,0.70575095951592,0.002
"S2",75,9,0.2,"OLS",1.88528039011058,0.0637951463968843,1.97635667513557,0.0866359584584054,0.184
"S2",75,9,0.2,"Ridge",1.87765442524477,0.0609754032369168,1.954310028425,0.0790099935925937,0.112
"S2",75,9,0.2,"LASSO",1.86620346296579,0.0654396992621407,1.95710556532157,0.0675590313136102,0.44
"S2",75,9,0.2,"ENet",1.86748249782391,0.0612696868950787,1.94800635370961,0.068838066171729,0.264
"S2",75,9,0.2,"BART",2.14124575497214,0.101755796077674,2.28174908246486,0.342601323319958,0
